value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
Negative,54251,53510,741,98.63412655987908,12.221308613329429,12.472437567886328,
Positive,389293,375155,14138,96.36828815313915,87.69736768002163,87.44341834760597,
UNKNOWN,361,361,0,100.0,0.08132370664894516,0.08414408450769884,
TOTAL_RECORDS,443905,429026,14879,96.64815670019486,100.0,100.0,
TOTAL_ASSIGNMENTS,443905,429026,14879,96.64815670019486,100.0,100.0,
