value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
Alkaloids,210679,3,210676,0.0014239672677390722,47.46038003626902,12.0,LOW_TARGET_SUPPORT
Amino acids and Peptides,30102,18,30084,0.059796691249750844,6.781180658023676,72.0,
Carbohydrates,8225,0,8225,0.0,1.8528739257273517,0.0,NO_TARGET_POSITIVES
Fatty acids,27710,4,27706,0.01443522194153735,6.242326623939807,16.0,LOW_TARGET_SUPPORT
Polyketides,19715,0,19715,0.0,4.441265586105135,0.0,NO_TARGET_POSITIVES
Shikimates and Phenylpropanoids,88308,0,88308,0.0,19.893445669681576,0.0,NO_TARGET_POSITIVES
Terpenoids,70569,0,70569,0.0,15.897320372602247,0.0,NO_TARGET_POSITIVES
TOTAL_RECORDS,443905,25,443880,0.005631835640508668,100.0,100.0,
TOTAL_ASSIGNMENTS,455308,25,455283,0.005490788652955801,102.56879287234881,100.0,
