value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
Clovane sesquiterpenoids,7,0,7,0.0,0.0015769139793424267,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Colensane and Clerodane diterpenoids,536,0,536,0.0,0.12074655613250583,0.0,NO_TARGET_POSITIVES
Copaane sesquiterpenoids,3,0,3,0.0,0.0006758202768610401,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Corynanthe type,2236,0,2236,0.0,0.5037113796870952,0.0,NO_TARGET_POSITIVES
Coumarinolignans,55,0,55,0.0,0.01239003840911907,0.0,NO_TARGET_POSITIVES
Coumaronochromones,4,0,4,0.0,0.0009010937024813867,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Coumestan,531,0,531,0.0,0.11962018900440409,0.0,NO_TARGET_POSITIVES
Cryptophycins,1,0,1,0.0,0.00022527342562034668,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Cucurbitane triterpenoids,1098,0,1098,0.0,0.24735022133114065,0.0,NO_TARGET_POSITIVES
Cuparane sesquiterpenoids,4,0,4,0.0,0.0009010937024813867,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Cyanogenic glycosides,173,0,173,0.0,0.038972302632319974,0.0,NO_TARGET_POSITIVES
Cyclic peptides,2077,4,2073,0.19258545979778527,0.46789290501346004,0.02576655501159495,LOW_TARGET_SUPPORT
Cyclitols,413,388,25,93.94673123486683,0.09303792478120318,2.49935583612471,
Cycloabietane diterpenoids,1,0,1,0.0,0.00022527342562034668,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Cycloapotirucallane triterpenoids,5,0,5,0.0,0.0011263671281017335,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Cycloartane triterpenoids,764,0,764,0.0,0.1721088971739449,0.0,NO_TARGET_POSITIVES
Cycloeudesmane sesquiterpenoids,110,0,110,0.0,0.02478007681823814,0.0,NO_TARGET_POSITIVES
Cyclolaurane sesquiterpenoids,1,0,1,0.0,0.00022527342562034668,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Cyclophytane diterpenoids,153,0,153,0.0,0.034466834119913047,0.0,NO_TARGET_POSITIVES
Cyclopiazonic acid-tpye tetramate alkaloids,16,0,16,0.0,0.003604374809925547,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Cytochalasan alkaloids,251,0,251,0.0,0.05654362983070702,0.0,NO_TARGET_POSITIVES
Dammarane and Protostane triterpenoids,4558,0,4558,0.0,1.0267962739775403,0.0,NO_TARGET_POSITIVES
Daphnane diterpenoids,21,0,21,0.0,0.00473074193802728,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Daucane sesquiterpenoids,139,0,139,0.0,0.03131300616122819,0.0,NO_TARGET_POSITIVES
Decalins with side chains,8,0,8,0.0,0.0018021874049627734,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Depsides,460,21,439,4.565217391304348,0.10362577578535949,0.1352744138108735,
Depsidones,315,0,315,0.0,0.0709611290704092,0.0,NO_TARGET_POSITIVES
Depsipeptides,923,2,921,0.21668472372697722,0.20792737184758,0.012883277505797475,LOW_TARGET_SUPPORT
Diacylglycerols,33,0,33,0.0,0.0074340230454714405,0.0,NO_TARGET_POSITIVES
Dialkylresorcinols,6,0,6,0.0,0.0013516405537220802,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Diarylether type diarylheptanoids,8,0,8,0.0,0.0018021874049627734,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Dibenzocyclooctadienes lignans,1099,0,1099,0.0,0.247575494756761,0.0,NO_TARGET_POSITIVES
Dibenzylbutane lignans,614,0,614,0.0,0.13831788333089287,0.0,NO_TARGET_POSITIVES
Dibenzylbutyrolactone lignans,310,0,310,0.0,0.06983476194230748,0.0,NO_TARGET_POSITIVES
Dicarboxylic acids,1803,2,1801,0.11092623405435387,0.4061679863934851,0.012883277505797475,LOW_TARGET_SUPPORT
Dihydroflavonols,1027,0,1027,0.0,0.23135580811209605,0.0,NO_TARGET_POSITIVES
Dimeric phloroglucinols,58,0,58,0.0,0.01306585868598011,0.0,NO_TARGET_POSITIVES
Dipeptides,8430,29,8401,0.34400948991696323,1.8990549779795227,0.18680752383406338,
Disaccharides,593,7,586,1.1804384485666104,0.1335871413928656,0.04509147127029116,LOW_TARGET_SUPPORT
Dolabellane diterpenoids,4,0,4,0.0,0.0009010937024813867,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Drimane sesquiterpenoids,241,0,241,0.0,0.054290895574503555,0.0,NO_TARGET_POSITIVES
Ecdysteroids,600,0,600,0.0,0.13516405537220802,0.0,NO_TARGET_POSITIVES
Elemane sesquiterpenoids,68,0,68,0.0,0.015318592942183577,0.0,NO_TARGET_POSITIVES
Elfamycins,33,0,33,0.0,0.0074340230454714405,0.0,NO_TARGET_POSITIVES
Epothilones,95,0,95,0.0,0.021400975433932937,0.0,NO_TARGET_POSITIVES
Epoxy fatty acids,10,0,10,0.0,0.002252734256203467,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Epoxyeicosatrienoic acids,7,0,7,0.0,0.0015769139793424267,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Eremophilane sesquiterpenoids,325,0,325,0.0,0.07321386332661267,0.0,NO_TARGET_POSITIVES
Ergostane steroids,770,0,770,0.0,0.17346053772766695,0.0,NO_TARGET_POSITIVES
Ergot alkaloids,819,0,819,0.0,0.18449893558306396,0.0,NO_TARGET_POSITIVES
Ericamycins,6,0,6,0.0,0.0013516405537220802,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Erythromycins,748,0,748,0.0,0.16850452236401933,0.0,NO_TARGET_POSITIVES
Erythroxylane diterpenoids,1,0,1,0.0,0.00022527342562034668,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Estrane steroids,1112,23,1089,2.068345323741007,0.2505040492898255,0.14815769131667098,
Eudesmane sesquiterpenoids,1035,0,1035,0.0,0.23315799551705882,0.0,NO_TARGET_POSITIVES
Farnesane sesquiterpenoids,331,5,326,1.5105740181268883,0.07456550388033475,0.03220819376449369,LOW_TARGET_SUPPORT
Fatty acid estolides,115,0,115,0.0,0.025906443946339872,0.0,NO_TARGET_POSITIVES
Fatty acyl CoAs,57,57,0,100.0,0.012840585260359761,0.36717340891522804,
Fatty acyl carnitines,480,0,480,0.0,0.10813124429776641,0.0,NO_TARGET_POSITIVES
Fatty acyl glycosides of mono- and disaccharides,320,0,320,0.0,0.07208749619851094,0.0,NO_TARGET_POSITIVES
Fatty acyl homoserine lactones,60,0,60,0.0,0.013516405537220801,0.0,NO_TARGET_POSITIVES
Fatty alcohols,512,33,479,6.4453125,0.1153399939176175,0.21257407884565835,
Fatty aldehydes,48,0,48,0.0,0.010813124429776642,0.0,NO_TARGET_POSITIVES
Fenchane monoterpenoids,5,0,5,0.0,0.0011263671281017335,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Fernane and Arborinane triterpenoids,13,0,13,0.0,0.002928554533064507,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Flavan-3-ols,2008,0,2008,0.0,0.4523490386456562,0.0,NO_TARGET_POSITIVES
Flavandiols (Leucoanthocyanidins),4,0,4,0.0,0.0009010937024813867,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Flavanones,6621,12,6609,0.18124150430448574,1.4915353510323155,0.07729966503478485,
Flavans,11,0,11,0.0,0.002478007681823814,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Flavones,10677,0,10677,0.0,2.4052443653484414,0.0,NO_TARGET_POSITIVES
Flavonolignans,398,0,398,0.0,0.08965882339689799,0.0,NO_TARGET_POSITIVES
Flavonols,9469,0,9469,0.0,2.1331140671990627,0.0,NO_TARGET_POSITIVES
Friedelane triterpenoids,314,0,314,0.0,0.07073585564478886,0.0,NO_TARGET_POSITIVES
Fukinane sesquiterpenoids,13,0,13,0.0,0.002928554533064507,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Fungal DPEs,115,20,95,17.391304347826086,0.025906443946339872,0.12883277505797475,
Fungal cyclic polyketides (Miscellaneous),1,0,1,0.0,0.00022527342562034668,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Furanoabietane diterpenoids,1,0,1,0.0,0.00022527342562034668,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Furanoid lignans,295,0,295,0.0,0.06645566055800227,0.0,NO_TARGET_POSITIVES
Furans,422,0,422,0.0,0.0950653856117863,0.0,NO_TARGET_POSITIVES
Furocoumarins,3154,0,3154,0.0,0.7105123844065735,0.0,NO_TARGET_POSITIVES
Furofuranoid lignans,1171,0,1171,0.0,0.263795181401426,0.0,NO_TARGET_POSITIVES
Furostane steroids,596,0,596,0.0,0.13426296166972662,0.0,NO_TARGET_POSITIVES
Fusicoccane diterpenoids,1,0,1,0.0,0.00022527342562034668,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Fusidane triterpenoids,284,0,284,0.0,0.06397765287617846,0.0,NO_TARGET_POSITIVES
Gallotannins,1707,0,1707,0.0,0.3845417375339318,0.0,NO_TARGET_POSITIVES
Germacrane sesquiterpenoids,1432,0,1432,0.0,0.32259154548833646,0.0,NO_TARGET_POSITIVES
Gibberellins,208,0,208,0.0,0.04685687252903211,0.0,NO_TARGET_POSITIVES
Glucosinolates,259,0,259,0.0,0.0583458172356698,0.0,NO_TARGET_POSITIVES
Glycerophosphates,43,43,0,100.0,0.009686757301674908,0.27699046637464575,
Glycerophosphocholines,7671,7662,9,99.88267500977707,1.7280724479336798,49.35583612471013,
